run_accession	sample_name
ERR1368921	1939.100106
ERR1368924	1939.100115
ERR1368928	1939.100160
ERR1368929	1939.100161
ERR1368932	1939.100176
ERR1368936	1939.100181
ERR1368937	1939.100182
ERR1368941	1939.100190
ERR1368942	1939.100191
ERR1368943	1939.100192
ERR1368946	1939.100197
ERR1368948	1939.100200
ERR1368951	1939.100205
ERR1368955	1939.100210
ERR1368956	1939.100211
ERR1368960	1939.100217
ERR1368961	1939.100219
ERR1368964	1939.100225
ERR1368965	1939.100226
ERR1368967	1939.100228
ERR1368968	1939.100233
ERR1368975	1939.121180
ERR1368976	1939.121181
ERR1368977	1939.121182
ERR1368982	1939.121188
ERR1368985	1939.121191
ERR1368986	1939.121192
ERR1368987	1939.121193
ERR1368990	1939.121196
ERR1368993	1939.121199
ERR1368995	1939.121201
ERR1369001	1939.121217
ERR1369003	1939.121219
ERR1369008	1939.121283
ERR1369010	1939.121285
ERR1369012	1939.121308
ERR1369013	1939.121309
ERR1369014	1939.121310
ERR1369015	1939.121311
ERR1369016	1939.121312
ERR1369017	1939.121313
ERR1369019	1939.121385
ERR1369020	1939.121386
ERR1369023	1939.121389
ERR1369026	1939.121400
ERR1369029	1939.121403
ERR1369031	1939.121405
ERR1369032	1939.121420
ERR1369033	1939.121421
ERR1369039	1939.121447
ERR1369043	1939.121451
ERR1369044	1939.121452
ERR1369046	1939.121455
ERR1369048	1939.121457
ERR1369050	1939.121463
ERR1369052	1939.121465
ERR1369054	1939.121467
ERR1369055	1939.121468
ERR1369058	1939.121471
ERR1369059	1939.121473
ERR1369062	1939.121476
ERR1369066	1939.121480
ERR1369071	1939.121495
ERR1369074	1939.121498
ERR1369075	1939.121499
ERR1369077	1939.121501
ERR1369085	1939.121954.b
ERR1369087	1939.121959.b
ERR1369091	1939.121971
ERR1369098	1939.121981
ERR1369100	1939.121983
ERR1369102	1939.122004.a
ERR1369104	1939.122006
ERR1369105	1939.122007
ERR1369114	1939.122034.b
ERR1369115	1939.122037
ERR1369118	1939.122039.b
ERR1369123	1939.122057.a
ERR1369124	1939.122057.b
ERR1369131	1939.122063
ERR1369132	1939.122072
ERR1369134	1939.122075
ERR1369135	1939.122076
ERR1369140	1939.122096.b
